INFO:root:learning_rate : 0.1
n_epochs: 1
dataset: "mnist.pkl.gz"
batch_size: 50
poolsize: 2
conv_layer {
	num_filters: 20
	filter_w: 5
}
conv_layer {
	num_filters: 50
	filter_w: 5
}
hidden_layer {
	num_outputs: 500
	activation_function: "tanh"
}
last_layer {
	num_outputs: 10
	activation_function: "tanh"
}
cost_function: "log_likelihood"

INFO:root:cost 0.633245, VOC 0.170000
INFO:root:cost 0.428174, VOC 0.140000
INFO:root:cost 0.184301, VOC 0.030000
INFO:root:cost 0.346627, VOC 0.110000
INFO:root:cost 0.253119, VOC 0.060000
INFO:root:cost 0.214000, VOC 0.040000
INFO:root:cost 0.350776, VOC 0.090000
INFO:root:cost 0.385047, VOC 0.130000
INFO:root:cost 0.328894, VOC 0.110000
INFO:root:cost 0.449606, VOC 0.120000
INFO:root:cost 0.383288, VOC 0.110000
INFO:root:cost 0.411056, VOC 0.140000
INFO:root:cost 0.463289, VOC 0.130000
INFO:root:cost 0.579033, VOC 0.200000
INFO:root:cost 0.242019, VOC 0.050000
INFO:root:cost 0.434824, VOC 0.140000
INFO:root:cost 0.432884, VOC 0.130000
INFO:root:cost 0.543746, VOC 0.150000
INFO:root:cost 0.414182, VOC 0.160000
INFO:root:cost 0.247018, VOC 0.090000
INFO:root:cost 0.187335, VOC 0.070000
INFO:root:cost 0.362542, VOC 0.100000
INFO:root:cost 0.238712, VOC 0.080000
INFO:root:cost 0.244141, VOC 0.050000
INFO:root:cost 0.311326, VOC 0.080000
INFO:root:cost 0.212353, VOC 0.060000
INFO:root:cost 0.199268, VOC 0.040000
INFO:root:cost 0.523398, VOC 0.150000
INFO:root:cost 0.394850, VOC 0.130000
INFO:root:cost 0.361337, VOC 0.090000
INFO:root:cost 0.397119, VOC 0.120000
INFO:root:cost 0.265018, VOC 0.080000
INFO:root:cost 0.233959, VOC 0.080000
INFO:root:cost 0.197232, VOC 0.040000
INFO:root:cost 0.274412, VOC 0.060000
